,AAPL,AMZN,GOOGL,MSFT
2024-01-02,185.63999938964844,149.92999267578125,138.1699981689453,370.8699951171875
2024-01-03,184.25,148.47000122070312,138.9199981689453,370.6000061035156
2024-01-04,181.91000366210938,144.57000732421875,136.38999938964844,367.94000244140625
2024-01-05,181.17999267578125,145.24000549316406,135.72999572753906,367.75
2024-01-08,185.55999755859375,149.10000610351562,138.83999633789062,374.69000244140625
2024-01-09,185.13999938964844,151.3699951171875,140.9499969482422,375.7900085449219
2024-01-10,186.19000244140625,153.72999572753906,142.27999877929688,382.7699890136719
2024-01-11,185.58999633789062,155.17999267578125,142.0800018310547,384.6300048828125
2024-01-12,185.9199981689453,154.6199951171875,142.64999389648438,388.4700012207031
2024-01-16,183.6300048828125,153.16000366210938,142.49000549316406,390.2699890136719
2024-01-17,182.67999267578125,151.7100067138672,141.47000122070312,389.4700012207031
2024-01-18,188.6300048828125,153.5,143.47999572753906,393.8699951171875
2024-01-19,191.55999755859375,155.33999633789062,146.3800048828125,398.6700134277344
2024-01-22,193.88999938964844,154.77999877929688,145.99000549316406,396.510009765625
2024-01-23,195.17999267578125,156.02000427246094,147.0399932861328,398.8999938964844
2024-01-24,194.5,156.8699951171875,148.6999969482422,402.55999755859375
2024-01-25,194.1699981689453,157.75,151.8699951171875,404.8699951171875
2024-01-26,192.4199981689453,159.1199951171875,152.19000244140625,403.92999267578125
2024-01-29,191.72999572753906,161.25999450683594,153.50999450683594,409.7200012207031
2024-01-30,188.0399932861328,159.0,151.4600067138672,408.5899963378906
2024-01-31,184.39999389648438,155.1999969482422,140.10000610351562,397.5799865722656
2024-02-01,186.86000061035156,159.27999877929688,141.16000366210938,403.7799987792969
2024-02-02,185.85000610351562,171.80999755859375,142.3800048828125,411.2200012207031
2024-02-05,187.67999267578125,170.30999755859375,143.67999267578125,405.6499938964844
2024-02-06,189.3000030517578,169.14999389648438,144.10000610351562,405.489990234375
2024-02-07,189.41000366210938,170.52999877929688,145.5399932861328,414.04998779296875
2024-02-08,188.32000732421875,169.83999633789062,145.91000366210938,414.1099853515625
2024-02-09,188.85000610351562,174.4499969482422,149.0,420.54998779296875
2024-02-12,187.14999389648438,172.33999633789062,147.52999877929688,415.260009765625
2024-02-13,185.0399932861328,168.63999938964844,145.13999938964844,406.32000732421875
2024-02-14,184.14999389648438,170.97999572753906,145.94000244140625,409.489990234375
2024-02-15,183.86000061035156,169.8000030517578,142.77000427246094,406.55999755859375
2024-02-16,182.30999755859375,169.50999450683594,140.52000427246094,404.05999755859375
2024-02-20,181.55999755859375,167.0800018310547,141.1199951171875,402.7900085449219
2024-02-21,182.32000732421875,168.58999633789062,142.5500030517578,402.17999267578125
2024-02-22,184.3699951171875,174.5800018310547,144.08999633789062,411.6499938964844
2024-02-23,182.52000427246094,174.99000549316406,143.9600067138672,410.3399963378906
2024-02-26,181.16000366210938,174.72999572753906,137.57000732421875,407.5400085449219
2024-02-27,182.6300048828125,173.5399932861328,138.8800048828125,407.4800109863281
2024-02-28,181.4199981689453,173.16000366210938,136.3800048828125,407.7200012207031
2024-02-29,180.75,176.75999450683594,138.4600067138672,413.6400146484375
2024-03-01,179.66000366210938,178.22000122070312,137.13999938964844,415.5
2024-03-04,175.10000610351562,177.5800018310547,133.35000610351562,414.9200134277344
2024-03-05,170.1199951171875,174.1199951171875,132.6699981689453,402.6499938964844
