CCA3,Rank,Country,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),World Population Percentage
AFG,36,Afghanistan,Kabul,Asia,41128771.0,37441135.0,33753499.0,28189672.0,19442234.0,10694796.0,12486631.0,10752971.0,652230,63.0587,0.52
ALB,138,Albania,Tirana,Europe,2842321.0,2866849.0,2882481.0,2913399.0,3182021.0,3295066.0,2941651.0,2324731.0,28748,98.8702,0.04
DZA,34,Algeria,Algiers,Africa,44903225.0,43451666.0,39225984.333333336,35000302.666666664,30774621.0,25518074.0,18739378.0,13795915.0,2381741,18.8531,0.56
ASM,213,American Samoa,Pago Pago,Oceania,46189.0,46189.0,51368.0,54849.0,58230.0,47818.0,32886.0,27075.0,199,222.4774,0.0
AND,203,Andorra,Andorra la Vella,Europe,79824.0,77700.0,71746.0,71519.0,66097.0,53569.0,35611.0,19860.0,468,170.5641,0.0
AGO,42,Angola,Luanda,Africa,35588987.0,33428485.0,28127721.0,23364185.0,16394062.0,11828638.0,8330047.0,6029700.0,1246700,28.5466,0.45
AIA,224,Anguilla,The Valley,North America,15857.0,15585.0,14525.0,13172.0,11047.0,8316.0,6560.0,6283.0,91,174.2527,0.0
ATG,201,Antigua and Barbuda,Saint John’s,North America,93763.0,92664.0,89941.0,85695.0,75055.0,63328.0,64888.0,64516.0,442,212.1335,0.0
ARG,33,Argentina,Buenos Aires,South America,45510318.0,45036032.0,43257065.0,41100123.0,37070774.0,32637657.0,28024803.0,23842803.0,2780400,16.3683,0.57
ARM,140,Armenia,Yerevan,Asia,2780469.0,2805608.0,2878595.0,2946293.0,3168523.0,3556539.0,3045458.0,2534377.0,29743,93.4831,0.03
ABW,198,Aruba,Oranjestad,North America,106445.0,106585.0,104257.0,100341.0,89101.0,65712.0,62267.0,59106.0,180,591.3611,0.0
AUS,55,Australia,Canberra,Oceania,26177413.0,25670051.0,23820236.0,22019168.0,19017963.0,17048003.0,14706322.0,12595034.0,7692024,3.4032,0.33
AUT,99,Austria,Vienna,Europe,8939617.0,8907777.0,8642421.0,8362829.0,8010428.0,7678729.0,7547561.0,7465301.0,83871,106.5877,0.11
AZE,91,Azerbaijan,Baku,Asia,10358074.0,10284951.0,9863480.0,9237202.0,8190337.0,7427836.0,6383060.0,5425317.0,86600,119.6082,0.13
BHS,176,Bahamas,Nassau,North America,409984.0,406471.0,392697.0,373272.0,325014.0,270679.0,223752.0,179129.0,13943,29.4043,0.01
BHR,154,Bahrain,Manama,Asia,1472233.0,1477469.0,1362142.0,1213645.0,711442.0,517418.0,362595.0,222555.0,765,1924.4876,0.02
BGD,8,Bangladesh,Dhaka,Asia,171186372.0,167420951.0,157830000.0,148391139.0,129193327.0,107147651.0,83929765.0,67541860.0,147570,1160.035,2.15
BRB,186,Barbados,Bridgetown,North America,281635.0,280693.0,278083.0,274711.0,264657.0,258868.0,253575.0,241397.0,430,654.9651,0.0
BLR,96,Belarus,Minsk,Europe,9534954.0,9633740.0,9700609.0,9729771.0,9758933.0,9788095.0,9817257.0,9170786.0,207600,45.9295,0.12
BEL,81,Belgium,Brussels,Europe,11655930.0,11561717.0,11248303.0,10877947.0,10264343.0,9959560.0,9828986.0,9629376.0,30528,381.8111,0.15
BLZ,177,Belize,Belmopan,North America,405272.0,394921.0,359871.0,322106.0,240406.0,182589.0,145133.0,120905.0,22966,17.6466,0.01
BEN,77,Benin,Porto-Novo,Africa,13352864.0,12643123.0,10932783.0,9445710.0,6998023.0,5133419.0,3833939.0,3023443.0,112622,118.5635,0.17
BMU,206,Bermuda,Hamilton,North America,64184.0,64031.0,63144.0,63447.0,61371.0,57470.0,53565.0,52019.0,54,1188.5926,0.0
